Produttore,Vino,Media Grezza,Prezzo,V Score,Q/P,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2004
Monte Santoccio,Amarone Classico,4.0,35-39,0.77,01,sv,sv,4,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Monte Santoccio,Amarone Classico Edizione Speciale Nicola Ferrari,4.0,45-49,0.77,01,sv,sv,4,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Monte Zovo,Amarone,4.7,70-74,2.69,03,sv,5,5,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Montetondo,Amarone,3.0,40-44,0.65,01,sv,sv,3,3,3,3,3,sv,sv,sv,sv,sv,sv,sv
Nicolis,Amarone Classico,3.0,40-44,0.13,00,sv,sv,sv,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv
Nicolis,Amarone Classico Ambrosan,3.0,50-54,0.13,00,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Odino Vaona,Amarone Classico Pergrandi,3.3,30-34,0.65,01,sv,sv,3,4,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Odino Vaona,Amarone Classico Riserva Pergrandi,5.0,75-79,1.15,01,sv,sv,sv,sv,sv,5,sv,sv,sv,sv,sv,sv,sv,sv
Pasqua,Amarone Classico Riserva Cecilia Beretta Terre di Cariano,3.5,75-79,0.52,00,sv,sv,sv,3,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Pasqua,Amarone Classico Villa Borghetti,3.0,35-39,0.13,00,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv
Pasqua,Amarone Famiglia Pasqua,3.0,60-64,0.26,00,sv,sv,sv,sv,sv,3,3,sv,sv,sv,sv,sv,sv,sv
Pasqua,Amarone Riserva Famiglia Pasqua,5.0,70-74,23,21,sv,sv,sv,sv,sv,5,sv,sv,sv,sv,sv,sv,sv,sv
Pasqua,Amarone Riserva Famiglia Pasqua,5.0,125-149,23,11,sv,sv,sv,sv,sv,5,sv,sv,sv,sv,sv,sv,sv,sv
Pieropan,Amarone,4.0,55-59,23,27,sv,sv,sv,4,4,4,sv,sv,sv,sv,sv,sv,sv,sv
Recchia,Amarone Classico Masua Di Jago,3.0,30-34,3,05,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Recchia,Amarone Classico Riserva Ca' Bertoldi,4.0,40-44,8,12,sv,sv,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Roberto Mazzi,Amarone Classico Vigneto Punta Di Villa,4.0,50-54,8,10,sv,sv,sv,sv,sv,sv,sv,4,sv,sv,sv,sv,sv,sv
Roberto Mazzi,Amarone Classico Vigneto Castel,3.0,55-59,3,03,sv,sv,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Roccolo Callisto,Amarone ,4.0,45-49,8,11,sv,sv,4,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
Roccolo Grassi,Amarone ,4.8,75-79,77,67,sv,sv,5,5,sv,4,5,sv,sv,sv,sv,sv,sv,sv
Romano Dal Forno,Amarone Vigneto Di Monte Lodoletta,5.0,300-349,46,10,sv,sv,sv,sv,sv,sv,5,5,sv,sv,sv,sv,sv,sv
Rubinelli Vajol,Amarone Classico,4.0,50-54,15,20,sv,sv,sv,4,sv,4,sv,sv,sv,sv,sv,sv,sv,sv
Rubinelli Vajol,Amarone Classico Riserva Destinee,5.0,150-174,23,10,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,5,sv,sv,sv
San Cassiano,Amarone Riserva,3.0,70-74,3,02,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
San Cassiano,Amarone,3.0,45-49,3,04,sv,sv,3,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv,sv
