Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
Marchesi Antinori,Chianti Classico Riserva Marchese Antinori,3.2,30-34,17,14,sv,sv,3,3,4,3,3,3,sv,sv,sv
Marchesi Antinori,Chianti Classico Peppoli,2.3,15-19,7,11,sv,3,2,2,2,3,2,sv,sv,sv,sv
Marchesi Antinori,Chianti Classico Riserva Villa Antinori,2.5,20-24,6,7,sv,sv,sv,3,3,2,sv,2,sv,sv,sv
Monteraponi,Chianti Classico Riserva Il Campitello,4.5,50-54,83,43,sv,sv,5,5,5,5,4,3,sv,sv,sv
Monteraponi,Chianti Classico Baron Ugo,3.5,40-44,8,5,sv,sv,sv,3,sv,sv,4,sv,sv,sv,sv
Monteraponi,Chianti Classico,2.8,25-29,9,9,sv,3,3,sv,3,3,2,sv,sv,sv,sv
Nittardi,Chianti Classico Riserva Nittardi,2.8,35-39,7,5,sv,sv,2,sv,3,3,sv,3,sv,sv,sv
Nittardi,Chianti Classico Casanuova Di Nittardi Vigna Doghessa,2.2,15-19,6,9,sv,2,2,3,2,2,2,sv,sv,sv,sv
Nittardi,Chianti Classico Belcanto,2.3,15-19,4,7,sv,2,sv,2,sv,3,2,sv,sv,sv,sv
Ormanni,Chianti Classico Riserva Borro Del Diavolo,4.8,20-24,81,100,sv,sv,sv,5,4,5,sv,5,5,sv,sv
Ormanni,Chianti Classico Ormanni,2.6,10-14,8,18,sv,sv,3,3,3,2,2,sv,sv,sv,sv
Ormanni,Chianti Classico Gran Selezione Etichetta Storica,3.7,25-29,23,23,sv,sv,sv,sv,3,5,sv,sv,3,sv,sv
Ormanni,Chianti Classico Gran Selezione Etichetta Storica Dugentanni,4.0,45-49,6,4,sv,sv,sv,sv,sv,sv,sv,4,sv,sv,sv
Panzanello,Chianti Classico Riserva 1427,4.5,40-44,25,16,sv,sv,5,sv,4,sv,sv,sv,sv,sv,sv
Panzanello,Chianti Classico Panzanello,3.0,15-19,4,7,sv,3,3,sv,sv,sv,sv,sv,sv,sv,sv
Panzanello,Chianti Classico 1427,3.0,25-29,4,4,sv,sv,3,3,sv,sv,sv,sv,sv,sv,sv
Podere Poggio Scalette,Chianti Classico Poggio Scalette,2.8,15-19,12,19,sv,3,4,3,sv,2,2,sv,sv,sv,sv
Poggio Bonelli,Chianti Classico,2.3,10-14,4,10,sv,sv,2,sv,sv,3,2,2,sv,sv,sv
Poggio Bonelli,Chianti Classico Riserva,2.8,20-24,7,9,sv,sv,sv,3,2,3,sv,3,sv,sv,sv
Querceto Di Castellina,Chianti Classico Gran Selezione Sei,3.0,40-44,16,10,sv,sv,4,3,3,2,sv,3,3,sv,sv
Querceto Di Castellina,Chianti Classico L'Aura,3.0,15-19,13,20,sv,3,3,3,3,3,3,sv,sv,sv,sv
Querciabella,Chianti Classico Riserva,3.0,40-44,13,9,sv,sv,3,3,2,3,sv,4,sv,sv,sv
Querciabella,Chianti Classico,2.0,25-29,4,4,sv,2,2,2,2,sv,2,sv,sv,sv,sv
Ricasoli,Chianti Classico Gran Selezione Ceniprimo,4.0,50-54,27,14,sv,sv,5,4,3,sv,sv,sv,sv,sv,sv
Ricasoli,Chianti Classico Gran Selezione Colledila,3.8,50-54,44,23,sv,sv,5,5,3,3,sv,3,sv,sv,sv
Ricasoli,Chianti Classico Gran Selezione Castello Di Brolio,4.3,45-49,46,26,sv,sv,4,sv,5,3,sv,5,sv,sv,sv
Ricasoli,Chianti Classico Gran Selezione Roncicone,4.0,50-54,19,10,sv,sv,4,4,4,sv,sv,sv,sv,sv,sv
Ricasoli,Chianti Classico Brolio Bettino,3.0,15-19,9,14,sv,sv,3,3,sv,3,sv,3,sv,sv,sv
Ricasoli,Chianti Classico Brolio,2.4,10-14,6,15,sv,sv,3,2,2,2,3,sv,sv,sv,sv
Ricasoli,Chianti Classico Riserva Rocca Guicciarda,2.5,10-14,3,6,sv,sv,sv,2,sv,sv,sv,3,sv,sv,sv
Ricasoli,Chianti Classico Riserva Brolio,2.6,20-24,8,10,sv,sv,sv,3,2,2,3,3,sv,sv,sv
Riecine,Chianti Classico Riserva,4.3,40-44,31,20,sv,sv,5,4,sv,4,sv,sv,sv,sv,sv
Riecine,Chianti Classico,3.0,25-29,13,13,sv,3,3,3,3,3,3,sv,sv,sv,sv
Rocca delle Macie,Chianti Classico Gran Selezione Sergio Zingarelli,4.0,60-64,65,29,sv,sv,sv,5,5,4,3,5,2,sv,sv
Rocca delle Macie,Chianti Classico Gran Selezione Riserva Di Fizzano,3.6,30-34,31,27,sv,sv,3,sv,4,5,3,3,sv,sv,sv
Rocca delle Macie,Chianti Classico Riserva Ser Gioveto,3.0,25-29,6,6,sv,sv,3,sv,3,3,sv,sv,sv,sv,sv
Rocca delle Macie,Chianti Classico Riserva Famiglia Zingarelli,3.3,20-24,21,26,sv,sv,3,3,3,4,3,4,sv,sv,sv
