Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009
Moccagatta,Barbaresco Basarin,2.8,40-44,6,7,sv,sv,3,3,3,2,sv,sv,sv,sv
Musso,Barbaresco,2.0,30-34,1,1,sv,2,sv,sv,sv,sv,sv,sv,sv,sv
Musso,Barbaresco Rio Sordo,3.2,35-39,13,18,sv,3,3,3,4,3,sv,sv,sv,sv
Musso,Barbaresco Pora,3.0,35-39,9,13,sv,3,3,3,3,3,sv,sv,sv,sv
Musso,Bararesco Pora Riserva,2.0,45-49,1,1,sv,sv,sv,2,sv,sv,sv,sv,sv,sv
Orlando Abrigo,Barbaresco Meruzzano,3.3,25-29,19,34,4,4,3,3,3,3,sv,sv,sv,sv
Orlando Abrigo,Barbaresco Montersino,3.0,45-49,9,10,sv,3,3,3,3,3,sv,sv,sv,sv
Orlando Abrigo,Barbaresco Riserva Rongalio,3.5,55-59,22,19,sv,sv,3,3,4,4,3,4,sv,sv
Orlando Abrigo,Barbaresco Riserva Rongalio Tempo,4.0,50-54,6,5,sv,sv,4,sv,sv,sv,sv,sv,sv,sv
Paitin,Barbaresco Sorì Paitin Riserva Vecchie Vigne,5.0,85-89,50,28,sv,sv,5,5,5,sv,sv,sv,sv,sv
Paitin,Barbaresco Basarin,4.0,35-39,6,7,4,sv,sv,sv,sv,sv,sv,sv,sv,sv
Paitin,Barbaresco Serraboella,3.8,40-44,45,52,4,3,3,5,5,3,sv,sv,sv,sv
Paitin,Barbaresco Sorì Paitin Serraboella,3.0,55-59,11,10,3,3,3,3,3,3,sv,sv,sv,sv
Pelissero,Barbaresco Vanotu Riserva,5.0,250-299,17,3,sv,sv,sv,sv,sv,sv,sv,sv,5,sv
Pelissero,Barbaresco Vanotu,5.0,65-69,100,74,5,5,5,5,5,5,sv,sv,sv,sv
Pelissero,Barbaresco Tulin,3.7,50-54,26,25,4,3,3,4,4,4,sv,sv,sv,sv
Pelissero,Barbaresco Nubiola,3.2,30-34,15,23,3,3,4,3,3,3,sv,sv,sv,sv
Piero Busso,Barbaresco San Stunet,4.0,45-49,30,31,sv,5,4,4,3,sv,sv,sv,sv,sv
Piero Busso,Barbaresco Albesani Vigna Borgese,5.0,50-54,67,63,sv,5,5,5,5,sv,sv,sv,sv,sv
Piero Busso,Barbaresco Gallina,3.5,60-64,15,12,sv,4,3,4,3,sv,sv,sv,sv,sv
Piero Busso,Barbaresco Mondino,3.0,35-39,4,5,sv,3,sv,3,sv,sv,sv,sv,sv,sv
Piero Busso,Barbaresco Albesani Riserva Viti Vecchie,3.0,100-124,2,1,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Pio Cesare,Barbaresco Il Bricco,3.7,100-124,41,18,sv,5,5,3,3,3,3,sv,sv,sv
Pio Cesare,Barbaresco Pio,3.0,65-69,11,8,sv,3,3,3,3,3,3,sv,sv,sv
Poderi Colla,Barbaresco Roncaglie,3.0,30-34,11,17,3,3,3,3,3,3,sv,sv,sv,sv
Produttori Del Barbaresco,Barbaresco Rabajà Riserva,4.2,45-49,46,49,sv,sv,5,5,4,4,sv,3,sv,sv
Produttori Del Barbaresco,Barbaresco Montestefano Riserva,3.4,45-49,24,25,sv,sv,5,3,3,3,sv,3,sv,sv
Produttori Del Barbaresco,Barbaresco Asili Riserva,3.0,45-49,9,10,sv,sv,3,3,3,3,sv,3,sv,sv
Produttori Del Barbaresco,Barbaresco Montefico Riserva,4.2,45-49,46,49,sv,sv,4,4,5,3,sv,5,sv,sv
Produttori Del Barbaresco,Barbaresco Ovello Riserva,3.0,45-49,9,10,sv,sv,3,3,3,3,sv,3,sv,sv
