Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
Donatella Cinelli Colombini,Chianti Superiore,2.0,10-14,2,4,sv,sv,2,sv,sv,sv,sv,2,sv,sv
Tenuta Sette Ponti,Chianti Riserva Vigna Di Pallino,2.3,15-19,6,8,sv,sv,sv,sv,2,3,2,2,sv,sv
Tenuta Sette Ponti,Chianti Vigna Di Pallino,2.5,10-14,4,7,sv,sv,3,sv,sv,2,sv,sv,sv,sv
Fattoria Montellori,Chianti,1.7,5-9,2,7,sv,sv,sv,1,sv,2,2,sv,sv,sv
Fattoria Montellori,Chianti Caselle,3.0,10-14,3,5,sv,sv,sv,sv,sv,3,sv,sv,sv,sv
Fattoria Uccelliera,Chianti,2.0,10-14,2,4,sv,sv,sv,sv,2,sv,2,sv,sv,sv
Fattoria Di Montereggi,Chianti Riserva,3.0,15-19,3,4,sv,sv,sv,sv,3,sv,sv,sv,sv,sv
Fattoria Di Montereggi,Chianti,1.0,10-14,1,1,sv,sv,sv,1,sv,sv,sv,sv,sv,sv
Fattoria Di Bagnolo,Chianti Colli Fiorentini,2.3,10-14,5,9,sv,sv,sv,3,2,sv,2,sv,sv,sv
Fattoria Di Bagnolo,Chianti Colli Fiorentini Riserva,3.0,20-24,13,13,sv,sv,sv,sv,4,sv,3,2,sv,sv
Fattoria Del Cerro,Chianti Colli Senesi,1.8,5-9,3,10,sv,sv,2,2,1,2,sv,sv,sv,sv
Fattoria Carpineta Fontalpino,Chianti Colli Senesi,2.3,10-14,5,9,sv,sv,3,2,2,sv,sv,sv,sv,sv
Castello Romitorio,Chianti Colli Senesi,3.0,10-14,3,5,sv,sv,sv,3,sv,sv,sv,sv,sv,sv
Fattoria San Donato,Chianti Colli Senesi Riserva Fede,3.0,15-19,3,4,sv,sv,sv,sv,sv,3,sv,sv,sv,sv
Gratena,Chianti Gratena,2.0,10-14,1,2,sv,sv,sv,sv,sv,2,sv,sv,sv,sv
Bibi Graetz,Chianti Le Cicale Di Vincigliata,2.0,15-19,2,3,sv,sv,sv,sv,2,2,sv,sv,sv,sv
Fattoria Di Basciano,Chianti Rufina Riserva ,2.5,20-24,4,4,sv,sv,sv,sv,sv,3,sv,2,sv,sv
Fattoria Di Basciano,Chianti Riserva Renzo Masi,2.5,10-14,8,15,sv,sv,sv,,2,3,3,2,sv,sv
Fattoria Di Basciano,Chianti Rufina,2.0,10-14,5,9,sv,sv,sv,2,3,2,1,sv,sv,sv
Fattoria Le Sorgenti,Chianti Riserva Villa Le Sorgenti,3.0,30-34,6,4,sv,sv,sv,sv,3,3,sv,sv,sv,sv
Fattoria Le Sorgenti,Chianti Respiro,2.0,10-14,2,4,sv,sv,sv,2,sv,2,sv,sv,sv,sv
Grignano,Chianti Rufina Riserva Poggio Gualtieri,2.3,25-29,5,4,sv,sv,sv,sv,sv,2,sv,2,3,sv
Grignano,Chianti Rufina Ritratto Del Cardinale,2.0,15-19,1,1,sv,sv,sv,sv,2,sv,sv,sv,sv,sv
Grignano,Chianti Rufina Cardinal Enrico,2.0,35-39,1,1,sv,sv,sv,sv,sv,2,sv,sv,sv,sv
Grignano,Chianti Rufina Grignano,2.0,10-14,2,4,sv,sv,sv,sv,sv,sv,2,2,sv,sv
Castello Nipozzano,Chianti Rufina Riserva Nipozzano,2.5,20-24,4,4,sv,sv,sv,sv,3,2,sv,sv,sv,sv
Castello Nipozzano,Chianti Rufina Riserva Nipozzano Vecchie Viti,2.0,20-24,2,2,sv,sv,sv,sv,2,2,sv,sv,sv,sv
Agrisole,Chianti Sanminiatello,1.8,10-14,3,6,sv,sv,sv,2,2,1,2,sv,sv,sv
