Produttore,Vino,Media Grezza,Prezzo,VScore,QP,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Conterno,Barolo Vigna Francia,4.8,200-249,56,9,5,5,4,sv,sv,5,sv,sv,sv,sv,sv,sv
Conterno,Barolo Vigna Cerretta,4.7,200-249,78,13,5,4,4,5,5,5,sv,sv,sv,sv,sv,sv
Conterno,Barolo Vigna Arione,4.3,200-249,28,5,4,4,5,sv,sv,sv,sv,sv,sv,sv,sv,sv
Conterno Fantino,Barolo Mosconi Vigna Ped,5.0,75-79,100,49,5,5,5,5,5,5,sv,sv,sv,sv,sv,sv
Conterno Fantino,Barolo Ginestra Vigna Sorì Ginestra,4.5,80-84,67,31,4,5,4,5,5,4,sv,sv,sv,sv,sv,sv
Conterno Fantino,Barolo Ginestra Vigna Del Gris,3.7,65-69,26,15,4,3,4,4,4,3,sv,sv,sv,sv,sv,sv
Conterno Fantino,Barolo Castelletto Vigna Pressenda,3.2,65-69,13,7,4,3,3,3,3,sv,sv,sv,sv,sv,sv,sv
Cordero Di Montezemolo,Barolo Enrico VI,4.8,75-79,89,43,5,5,5,4,5,5,sv,sv,sv,sv,sv,sv
Cordero Di Montezemolo,Barolo Gattera,3.2,65-69,15,8,4,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Cordero Di Montezemolo,Barolo Monfalletto,3.0,35-39,11,12,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Domenico Clerico,Barolo Ginestra Ciabot Mentin,4.7,75-79,94,46,5,4,4,5,5,5,5,sv,sv,sv,sv,sv
Domenico Clerico,Barolo Del Comune Di Serralunga Aeroplan servaj,4.5,85-89,74,32,5,5,5,4,3,sv,5,sv,sv,sv,sv,sv
Domenico Clerico,Barolo Percristina,4.3,175-199,28,6,sv,sv,sv,sv,sv,sv,sv,4,5,sv,sv,4
Domenico Clerico,Barolo Ginestra Pajana,3.4,75-79,24,12,3,4,3,3,3,4,4,sv,sv,sv,sv,sv
Domenico Clerico,Barolo Del Comune Di Monforte,3.2,45-49,15,12,3,3,4,3,3,3,sv,sv,sv,sv,sv,sv
Dosio,Barolo Serradenari,3.2,40-44,15,13,4,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Dosio,Barolo Fossati,3.0,45-49,8,6,3,sv,3,sv,3,3,sv,sv,sv,sv,sv,sv
Dosio,Barolo Del Comune Di La Morra,2.6,25-29,7,10,3,3,2,2,3,sv,sv,sv,sv,sv,sv,sv
Dosio,Barolo Fossati Riserva,3.0,55-59,4,2,sv,sv,sv,sv,sv,3,3,sv,sv,sv,sv,sv
