Produttore,Vino,Media Grezza,Prezzo,V Score,Q/P,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
Cagliero,Barolo Riserva Ravera,3.0,40-44,2,2,sv,sv,sv,sv,sv,sv,sv,sv,3,sv,sv,sv
Cascina Ballarin,Barolo Riserva Bricco Rocca Tistot,3.3,80-84,9,4,sv,sv,4,sv,3,sv,sv,3,sv,sv,sv,sv
Cascina Ballarin,Barolo Bricco Rocca,3.6,45-49,21,16,4,4,4,sv,3,3,sv,sv,sv,sv,sv,sv
Cascina Ballarin,Barolo Tre Ciabot,2.8,35-39,10,10,3,2,3,3,3,3,sv,sv,sv,sv,sv,sv
Cascina Ballarin,Barolo Bussia,3.3,55-59,11,7,sv,3,3,sv,3,4,sv,sv,sv,sv,sv,sv
Cascina Ballarin,Barolo Riserva Tistot,3.0,80-84,2,1,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Cascina Bongiovanni,Barolo Pernanno,4.3,45-49,63,50,4,3,4,5,5,5,sv,sv,sv,sv,sv,sv
Cascina Bongiovanni,Barolo,3.2,35-39,15,15,3,4,3,3,3,3,sv,sv,sv,sv,sv,sv
Cascina Bongiovanni,Barolo Riserva,3.0,60-64,4,2,sv,sv,3,sv,3,sv,sv,sv,sv,sv,sv,sv
Cascina Chicco,Barolo Riserva Ginestra,3.0,45-49,11,9,sv,sv,3,sv,3,3,3,3,3,sv,sv,sv
Cascina Chicco,Barolo Rocche Di Castelletto,3.0,25-29,11,16,3,3,3,3,3,3,sv,sv,sv,sv,sv,sv
Cascina Fontana,Barolo Del Comune Di Castiglione Falletto,5.0,75-79,50,24,sv,5,5,sv,5,sv,sv,sv,sv,sv,sv,sv
Cascina Fontana,Barolo,4.2,50-54,39,28,sv,4,5,4,4,4,sv,sv,sv,sv,sv,sv
Castello Di Verduno,Barolo Riserva Monvigliero,5.0,70-74,67,35,sv,sv,5,sv,sv,5,5,5,sv,sv,sv,sv
Castello Di Verduno,Barolo Massara,3.2,50-54,15,11,3,3,3,3,3,4,sv,sv,sv,sv,sv,sv
Castello Di Verduno,Barolo,3.0,25-29,2,3,sv,sv,sv,sv,3,sv,sv,sv,sv,sv,sv,sv
Cavallotto,Barolo Riserva Bricco Boschis Vigna San Giuseppe,5.0,125-149,83,23,sv,sv,5,sv,5,5,5,5,sv,sv,sv,sv
Cavallotto,Barolo Bricco Boschis,4.2,70-74,46,24,5,5,3,sv,4,4,sv,sv,sv,sv,sv,sv
Cavallotto,Barolo Riserva Vignolo,3.6,100-124,21,7,sv,sv,4,sv,4,3,3,4,sv,sv,sv,sv
Ceretto,Barolo Brunate,4.8,100-124,72,24,5,5,5,sv,4,5,sv,sv,sv,sv,sv,sv
Ceretto,Barolo Prapò,4.2,100-124,46,16,4,5,4,5,3,sv,sv,sv,sv,sv,sv,sv
Ceretto,Barolo Bussia,3.0,100-124,6,2,3,3,3,sv,sv,sv,sv,sv,sv,sv,sv,sv
Ceretto,Barolo,3.2,50-54,13,10,sv,3,3,3,3,4,sv,sv,sv,sv,sv,sv
Ceretto,Barolo Bricco Rocche,4.5,175-199,44,9,sv,sv,4,4,sv,5,5,sv,sv,sv,sv,sv
